Model,No_of_new_rxns,No_of_rxns_with_ec_numbers_from_clean
Abiotrophia_defectiva_ATCC_49176,379,96
Acaricomes_phytoseiuli_DSM_14247,337,39
Acaryochloris_marina_MBIC11017,357,116
Acetanaerobacterium_elongatum_CGMCC_1_5012,372,95
Acetatifactor_muris_GP69,347,97
Acetivibrio_cellulolyticus_CD2,341,116
Acetivibrio_ethanolgignens_ACET_33324,370,108
Acetobacterium_wieringae_DSM_1911,412,104
Acetonema_longum_DSM_6540,373,94
Achromobacter_insuavis_AXX_A,419,99
Achromobacter_xylosoxidans_A8,450,107
Achromobacter_xylosoxidans_NBRC_15126,410,67
Achromobacter_xylosoxidans_NCTC10807,400,107
Acidaminobacter_hydrogenoformans_DSM_2784,347,79
Acidaminococcus_fermentans_DSM_20731,467,63
Acidaminococcus_intestini_RyC_MR95,425,65
Acidaminococcus_massiliensis_Marseille_P2828,529,97
Acidaminococcus_sp_BV3L6,415,71
Acidaminococcus_sp_D21,473,77
Acidaminococcus_sp_HPA0509,490,81
Acidobacterium_ailaaui_PMMR2,389,78
Acidobacterium_capsulatum_ATCC_51196,372,87
Acidovorax_caeni_R_24608,314,79
Acinetobacter_baumannii_1656_2,417,83
Acinetobacter_baumannii_3990,411,84
Acinetobacter_baumannii_48055,397,83
Acinetobacter_baumannii_53264,411,86
Acinetobacter_baumannii_6013113,358,74
Acinetobacter_baumannii_6013150,367,83
Acinetobacter_baumannii_6014059,366,80
Acinetobacter_baumannii_AA_014,411,84
Acinetobacter_baumannii_AB0057,413,75
Acinetobacter_baumannii_AB1H8,404,85
Acinetobacter_baumannii_AB210,418,83
Acinetobacter_baumannii_AB307_0294,412,86
Acinetobacter_baumannii_AB31,386,83
Acinetobacter_baumannii_AB405E4,344,75
Acinetobacter_baumannii_AB4A3,420,92
Acinetobacter_baumannii_AB5256,422,82
Acinetobacter_baumannii_AB5711,397,82
Acinetobacter_baumannii_AB900,396,85
Acinetobacter_baumannii_ABIsac_ColiR,391,82
Acinetobacter_baumannii_ABNIH11,403,87
Acinetobacter_baumannii_ABNIH14,415,85
Acinetobacter_baumannii_ABNIH15,415,84
Acinetobacter_baumannii_ABNIH16,398,93
Acinetobacter_baumannii_ABNIH18,395,87
Acinetobacter_baumannii_ABNIH19,360,74
Acinetobacter_baumannii_ABNIH1,416,83
Acinetobacter_baumannii_ABNIH22,396,85
Acinetobacter_baumannii_ABNIH23,386,89
Acinetobacter_baumannii_ABNIH25,385,80
Acinetobacter_baumannii_ABNIH26,415,84
Acinetobacter_baumannii_ABNIH3,411,82
Acinetobacter_baumannii_ABNIH4,408,85
Acinetobacter_baumannii_ABNIH5,410,86
Acinetobacter_baumannii_ABNIH6,412,84
Acinetobacter_baumannii_AB_1536_8,400,90
Acinetobacter_baumannii_AB_1582_8,416,83
Acinetobacter_baumannii_AB_1594_8,415,78
Acinetobacter_baumannii_AB_1595_8,406,88
Acinetobacter_baumannii_AB_1649_8,405,86
Acinetobacter_baumannii_AB_1650_8,404,87
Acinetobacter_baumannii_AB_1766_8,411,82
Acinetobacter_baumannii_AB_2007_09_110_01_7,380,78
Acinetobacter_baumannii_AB_2007_16_25_01_7,400,82
Acinetobacter_baumannii_AB_2007_16_27_01,420,83
Acinetobacter_baumannii_AB_2008_15_34_7,418,86
Acinetobacter_baumannii_AB_2008_15_45,413,86
Acinetobacter_baumannii_AB_2008_15_52,415,87
Acinetobacter_baumannii_AB_2008_15_69,405,82
Acinetobacter_baumannii_AB_2008_15_70,426,85
Acinetobacter_baumannii_AB_2008_15_71,417,85
Acinetobacter_baumannii_AB_2008_23_01_01_7,412,81
Acinetobacter_baumannii_AB_2008_23_07_01_7,418,85
Acinetobacter_baumannii_AB_2009_04_01_7,413,84
Acinetobacter_baumannii_AB_2009_04_02_7,403,84
Acinetobacter_baumannii_AB_515_8,395,86
Acinetobacter_baumannii_AB_908_12,399,84
Acinetobacter_baumannii_AB_908_13,415,81
Acinetobacter_baumannii_AB_909_01_7,406,83
Acinetobacter_baumannii_AB_909_02_7,414,85
Acinetobacter_baumannii_AB_909_05,411,86
Acinetobacter_baumannii_AB_TG19617,420,83
Acinetobacter_baumannii_AB_TG2018,420,84
Acinetobacter_baumannii_AB_TG2022,416,81
Acinetobacter_baumannii_AB_TG2023,405,82
Acinetobacter_baumannii_AB_TG2026,411,88
Acinetobacter_baumannii_AB_TG2028,410,84
Acinetobacter_baumannii_AB_TG2030,411,88
Acinetobacter_baumannii_AB_TG2031,397,82
Acinetobacter_baumannii_AB_TG27335,415,79
Acinetobacter_baumannii_AB_TG27339,419,80
Acinetobacter_baumannii_AB_TG27343,394,88
Acinetobacter_baumannii_AC12,391,77
Acinetobacter_baumannii_AC30,402,80
Acinetobacter_baumannii_ACICU,409,84
Acinetobacter_baumannii_ANC_4097,403,86
Acinetobacter_baumannii_ATCC_17978,336,88
Acinetobacter_baumannii_ATCC_19606,413,84
Acinetobacter_baumannii_AYE,405,86
Acinetobacter_baumannii_Ab11111,411,81
Acinetobacter_baumannii_Ab33333,399,85
Acinetobacter_baumannii_Ab44444,405,81
Acinetobacter_baumannii_BZICU_2,410,81
Acinetobacter_baumannii_Canada_BC1,411,84
Acinetobacter_baumannii_Canada_BC_5,409,80
Acinetobacter_baumannii_IS_116,415,82
Acinetobacter_baumannii_IS_123,416,94
Acinetobacter_baumannii_IS_143,409,86
Acinetobacter_baumannii_IS_235,380,78
Acinetobacter_baumannii_IS_251,406,86
Acinetobacter_baumannii_IS_58,419,82
Acinetobacter_baumannii_LAC_4,357,79
Acinetobacter_baumannii_MDR_TJ,408,83
Acinetobacter_baumannii_MDR_ZJ06,417,90
Acinetobacter_baumannii_MSP4_16,421,83
