Algo,InconsModelSize,NoOfCoreRxns,Runtime,LPS
FC,5000,50,51.0693767,3570
SPcc_SPc,5000,50,0.2694374,8
SP,5000,50,0.3345004,9
SW,5000,50,0.5563938,7
FC,5000,150,52.4111449,3574
SPcc_SPc,5000,150,0.3499578,12
SP,5000,150,0.3494463,9
SW,5000,150,0.5660741,10
FC,5000,250,53.4544638,3574
SPcc_SPc,5000,250,0.3458847,11
SP,5000,250,0.3520537,9
SW,5000,250,0.5467365,9
FC,5000,350,52.8269394,3574
SPcc_SPc,5000,350,0.3554569,11
SP,5000,350,0.340767,9
SW,5000,350,0.5460629,9
FC,5000,450,55.6371255,3578
SPcc_SPc,5000,450,0.2919324,10
SP,5000,450,0.3588369,9
SW,5000,450,0.5881018,12
FC,5000,550,54.1335048,3574
SPcc_SPc,5000,550,0.354428,11
SP,5000,550,0.3588428,9
SW,5000,550,0.5595096,10
FC,5000,650,54.5197591,3574
SPcc_SPc,5000,650,0.3474026,11
SP,5000,650,0.3571304,9
SW,5000,650,0.5779976,11
FC,5000,750,54.313884,3574
SPcc_SPc,5000,750,0.3445362,11
SP,5000,750,0.3472696,9
SW,5000,750,0.5767189,12
FC,5000,850,54.5674763,3576
SPcc_SPc,5000,850,0.3596443,13
SP,5000,850,0.3446998,9
SW,5000,850,0.559886,11
FC,5000,950,54.3256467,3574
SPcc_SPc,5000,950,0.3536186,11
SP,5000,950,0.3446843,9
SW,5000,950,0.5466862,11
FC,5000,1050,54.566302,3580
SPcc_SPc,5000,1050,0.3689888,12
SP,5000,1050,0.2976557,7
SW,5000,1050,0.5544505,10
FC,5000,1150,54.8711207,3582
SPcc_SPc,5000,1150,0.369883,12
SP,5000,1150,0.2880717,7
SW,5000,1150,0.6325074,12
FC,5000,1250,54.7470485,3574
SPcc_SPc,5000,1250,0.3539091,12
SP,5000,1250,0.347148,9
SW,5000,1250,0.5774681,12
FC,5000,1350,54.6810091,3576
SPcc_SPc,5000,1350,0.3554907,12
SP,5000,1350,0.3443774,9
SW,5000,1350,0.571937,11
FC,5000,1450,54.9027533,3586
SPcc_SPc,5000,1450,0.3284533,14
SP,5000,1450,0.3062174,7
SW,5000,1450,0.5395125,8
FC,5000,1550,54.7862898,3580
SPcc_SPc,5000,1550,0.3530412,12
SP,5000,1550,0.3568104,9
SW,5000,1550,0.5730428,12
FC,5000,1650,54.8708225,3582
SPcc_SPc,5000,1650,0.3485349,11
SP,5000,1650,0.358201,9
SW,5000,1650,0.5352139,8
FC,5000,1750,55.2119921,3588
SPcc_SPc,5000,1750,0.3604217,12
SP,5000,1750,0.3485444,9
SW,5000,1750,0.5337004,8
FC,5000,1850,55.5640214,3586
SPcc_SPc,5000,1850,0.3626249,14
SP,5000,1850,0.3513092,9
SW,5000,1850,0.5771348,13
FC,5000,1950,55.2172551,3580
SPcc_SPc,5000,1950,0.3742005,12
SP,5000,1950,0.3679592,9
SW,5000,1950,0.5457687,12
FC,5000,2050,54.9081987,3580
SPcc_SPc,5000,2050,0.3601789,12
SP,5000,2050,0.2844489,7
SW,5000,2050,0.5837862,10
FC,5000,2150,55.047286,3588
SPcc_SPc,5000,2150,0.3550784,12
SP,5000,2150,0.347041,9
SW,5000,2150,0.5810238,15
FC,5000,2250,55.2682108,3584
SPcc_SPc,5000,2250,0.3220228,13
SP,5000,2250,0.3588124,9
SW,5000,2250,0.5827339,13
FC,5000,2350,55.2719908,3590
SPcc_SPc,5000,2350,0.3697119,13
SP,5000,2350,0.358126,9
SW,5000,2350,0.5419779,10
FC,5000,2450,55.1142492,3586
SPcc_SPc,5000,2450,0.3697034,13
SP,5000,2450,0.3787855,9
SW,5000,2450,0.5698567,11
FC,5000,2550,55.3524754,3596
SPcc_SPc,5000,2550,0.3762923,16
SP,5000,2550,0.3487646,9
SW,5000,2550,0.5550516,9
FC,5000,2650,55.2667442,3588
SPcc_SPc,5000,2650,0.3762215,14
SP,5000,2650,0.3589812,9
SW,5000,2650,0.5687475,14
FC,5000,2750,55.1372765,3588
SPcc_SPc,5000,2750,0.3888982,12
SP,5000,2750,0.3626923,9
SW,5000,2750,0.5673166,10
FC,5000,2850,55.13452,3582
SPcc_SPc,5000,2850,0.2889396,10
SP,5000,2850,0.3500117,9
SW,5000,2850,0.577823,11
FC,5000,2950,55.1930385,3582
SPcc_SPc,5000,2950,0.3084442,13
SP,5000,2950,0.3437694,9
SW,5000,2950,0.5390854,10
FC,5000,3050,55.0506991,3584
SPcc_SPc,5000,3050,0.3808222,14
SP,5000,3050,0.2787868,7
SW,5000,3050,0.564368,11
FC,5000,3150,54.9921128,3582
SPcc_SPc,5000,3150,0.3796945,14
SP,5000,3150,0.3439052,9
SW,5000,3150,0.546749,12
FC,5000,3250,55.3448817,3586
SPcc_SPc,5000,3250,0.3690323,12
SP,5000,3250,0.2847364,7
SW,5000,3250,0.5448203,9
FC,5000,3350,55.2532386,3578
SPcc_SPc,5000,3350,0.3495636,12
SP,5000,3350,0.3481551,9
SW,5000,3350,0.5480162,10
FC,5000,3450,56.1090357,3584
SPcc_SPc,5000,3450,0.367792,12
SP,5000,3450,0.3519709,9
