Row,Alanine and aspartate metabolism,Aminobenzoate degradation,Aminophosphonate metabolism,Aminosugar metabolism,Arginine and proline metabolism,Ascorbate and aldarate metabolism,Atrazine degradation,Benzoate degradation,Beta-alanine metabolism,Bile acid metabolism,Bile acid synthesis,Biosynthesis of siderophore group nonribosomal peptides,Biotin metabolism,Butanoate metabolism,C5-branched dibasic acid metabolism,Caffeine metabolism,Carbon fixation in photosynthetic organisms,Carbon fixation pathways in prokaryotes,Cell wall biosynthesis,Chloroalkane and chloroalkene degradation,Cholesterol metabolism,Chondroitin sulfate degradation,Citric acid cycle,CoA catabolism,CoA synthesis,Cyanoamino acid metabolism,D-Arginine and D-ornithine metabolism,Drug metabolism,Exchange/demand reaction,Fatty acid oxidation,Fatty acid synthesis,Folate metabolism,Fructose and mannose metabolism,Galactose metabolism,Glutamate metabolism,Glutathione metabolism,Glycerophospholipid metabolism,"Glycine, serine and threonine metabolism","Glycine, serine, alanine, and threonine metabolism",Glycolysis/gluconeogenesis,Glyoxylate and dicarboxylate metabolism,Heme synthesis,Heparan sulfate degradation,Histidine metabolism,Histone phosphorylation,Hyaluronan metabolism,Inositol phosphate metabolism,Isoquinoline alkaloid biosynthesis,Lipopolysaccharide biosynthesis,Lysine metabolism,Methane metabolism,Methionine and cysteine metabolism,Miscellaneous,N-glycan degradation,N-glycan metabolism,NAD metabolism,"Neomycin, kanamycin and gentamicin biosynthesis",Nitrogen metabolism,Nucleotide interconversion,Nucleotide salvage pathway,Nucleotide sugar metabolism,O-glycan degradation,Others,Oxalate metabolism,Oxidative phosphorylation,Pentose and glucuronate interconversions,Pentose phosphate pathway,Peptide metabolism,Phenylalanine metabolism,Phenylpropanoid biosynthesis,Phosphonate and phosphinate metabolism,Plant polysaccharide degradation,Polycyclic aromatic hydrocarbon degradation,Porphyrin and chlorophyll metabolism,Primary amine metabolism,Propanoate metabolism,Purine catabolism,Purine synthesis,Pyrimidine catabolism,Pyrimidine synthesis,Pyruvate metabolism,R group synthesis,ROS detoxification,Respiration,Retinol metabolism,Sphingolipid metabolism,Squalene and cholesterol synthesis,Starch and sucrose metabolism,Steroid metabolism,Stickland reaction,Sulfur metabolism,Taurine and hypotaurine metabolism,Terpenoid backbone biosynthesis,Tetrahydrobiopterin metabolism,Thiamine metabolism,Toluene degradation,"Transport, extracellular","Transport, periplasmatic","Tropane, piperidine and pyridine alkaloid biosynthesis",Tryptophan metabolism,Tyrosine metabolism,Ubiquinone and other terpenoid-quinone biosynthesis,Unassigned,Urea cycle,Valerate metabolism,"Valine, leucine, and isoleucine metabolism",Vitamin B12 metabolism,Vitamin B2 metabolism,Vitamin B6 metabolism,Vitamin C metabolism,Wood-Ljungdahl Pathway,Xenobiotics metabolism,Zeatin biosynthesis,tRNA Charging
Abiotrophia_defectiva_ATCC_49176.mat,4,0,0,3,7,0,0,2,0,0,0,0,4,4,0,0,0,0,2,0,0,0,2,1,2,0,0,0,42,10,48,10,5,1,0,0,44,0,4,1,4,6,0,2,2,0,0,0,0,3,1,7,2,0,0,1,0,1,9,0,1,0,0,1,0,8,5,0,2,0,0,0,1,0,0,0,0,1,0,0,2,0,0,4,0,0,0,2,0,0,2,2,1,1,5,0,48,24,0,3,1,1,0,2,0,14,4,1,7,0,0,0,1,1
Acaricomes_phytoseiuli_DSM_14247.mat,4,0,0,1,12,0,0,1,3,0,0,0,0,3,0,0,0,1,2,0,0,0,2,0,0,1,0,1,42,5,26,4,6,3,1,1,31,0,3,7,2,2,0,1,2,0,5,0,0,5,0,7,1,0,0,4,0,4,10,3,1,0,1,0,0,7,2,0,1,0,0,2,0,0,0,5,2,0,2,0,1,0,0,2,0,0,0,6,0,0,5,0,2,0,0,2,41,11,0,7,4,2,0,2,0,13,2,1,4,0,1,2,0,0
Acaryochloris_marina_MBIC11017.mat,3,0,0,2,12,1,0,2,1,0,0,1,1,3,0,0,0,1,4,0,0,0,1,0,0,1,0,0,30,2,27,6,5,1,3,1,56,0,3,0,1,2,0,1,2,0,0,0,0,7,0,5,0,0,0,1,0,0,16,0,0,0,0,0,0,4,4,0,2,0,0,0,0,0,0,5,4,1,4,1,1,0,0,0,0,0,1,11,0,0,5,0,3,0,2,0,36,23,0,4,4,3,0,1,0,11,15,0,5,0,2,2,1,0
Acetanaerobacterium_elongatum_CGMCC_1_5012.mat,4,0,0,0,10,1,0,2,2,0,0,1,0,1,0,0,0,0,3,0,3,0,2,1,1,0,0,0,36,6,36,5,8,1,2,0,55,0,1,0,5,5,0,0,0,0,7,0,0,3,0,6,2,0,0,6,0,5,14,1,1,0,0,0,0,5,5,0,3,0,0,3,1,0,0,3,1,1,1,0,1,0,0,9,0,0,0,1,0,1,6,1,2,1,4,0,37,25,0,1,1,1,0,1,0,5,4,1,8,0,1,1,0,1
Acetatifactor_muris_GP69.mat,3,2,0,2,3,0,0,0,2,0,0,0,0,3,0,0,0,0,3,0,0,0,1,1,1,0,0,0,44,5,46,7,10,1,2,0,33,0,7,2,3,7,0,0,3,0,1,0,9,1,0,4,1,0,0,3,0,0,12,1,0,0,1,0,0,8,8,0,4,0,0,2,0,1,0,0,0,0,1,1,2,0,0,3,0,0,0,5,0,0,1,0,2,0,3,0,47,10,0,0,2,1,0,1,0,8,1,1,9,0,1,0,0,1
Acetivibrio_cellulolyticus_CD2.mat,4,0,0,2,5,1,0,7,0,0,0,0,3,3,0,0,0,0,1,0,0,0,3,0,0,0,0,3,29,3,36,8,6,1,2,1,57,0,3,1,1,2,0,2,2,0,1,0,0,3,0,5,1,0,0,1,0,2,13,1,1,0,2,0,0,3,7,0,4,0,0,2,1,0,0,1,0,1,1,2,4,0,0,1,0,0,0,9,0,0,3,0,2,0,2,0,29,20,0,0,2,5,0,1,0,4,15,0,5,0,1,0,0,0
Acetivibrio_ethanolgignens_ACET_33324.mat,4,0,0,2,6,0,0,0,1,0,0,0,2,3,0,0,0,0,1,0,0,0,2,1,1,0,0,1,30,4,35,7,7,3,2,0,55,0,4,1,3,5,0,0,5,0,8,0,0,6,0,5,1,1,0,4,0,0,9,1,2,0,0,1,0,8,3,0,4,0,0,1,0,0,1,3,2,1,3,1,4,0,0,6,0,0,0,7,0,0,3,1,2,0,5,0,36,12,0,1,2,0,0,1,0,5,22,2,6,0,2,0,0,3
Acetobacterium_wieringae_DSM_1911.mat,5,0,0,4,7,1,0,8,1,0,0,1,0,3,0,0,1,1,3,1,3,0,4,0,0,0,0,0,47,6,40,3,8,3,1,0,45,0,1,7,6,3,0,2,3,0,0,0,0,3,0,4,2,1,1,2,0,3,14,0,1,0,0,0,0,3,5,0,3,0,0,4,0,0,0,7,3,2,2,1,4,0,0,4,0,2,1,8,0,0,3,1,2,0,2,0,46,14,0,1,1,1,0,2,0,11,16,5,8,0,0,1,0,0
Acetonema_longum_DSM_6540.mat,4,0,1,2,8,2,0,2,1,0,0,1,0,3,0,0,0,0,4,0,0,0,0,0,0,1,0,0,29,3,41,4,4,1,0,1,31,0,5,3,3,1,0,0,4,0,5,0,0,1,1,7,1,0,0,0,0,1,14,3,1,0,0,0,0,7,3,0,9,0,1,3,1,0,1,1,6,0,4,0,2,0,0,5,0,0,0,13,0,0,2,2,3,1,2,0,41,29,0,0,1,3,0,2,0,7,19,2,8,0,0,2,0,0
Achromobacter_insuavis_AXX_A.mat,3,0,0,2,16,2,0,5,2,0,0,2,10,5,0,0,0,1,4,0,0,0,2,1,0,1,0,1,33,3,26,3,8,4,1,0,36,0,6,5,5,2,1,0,2,0,2,0,0,4,1,4,1,0,0,3,0,2,11,1,2,0,0,0,0,14,6,0,13,0,0,2,0,0,0,2,4,1,3,0,1,0,0,2,0,0,1,9,0,0,2,3,2,1,3,0,54,37,0,2,2,1,0,0,0,9,14,1,3,1,0,2,1,0
